# x_m, y_m, w_tr_right_m, w_tr_left_m
-35.52316363901783, 23.267056588097315, 10.0, 10.0
-36.02825925386157, 23.007978923623895, 10.0, 10.0
-36.53319921827087, 22.748598028595538, 10.0, 10.0
-37.037985514681814, 22.488918203966985, 10.0, 10.0
-37.49179285437539, 22.147887831707244, 10.0, 10.0
-37.89455894948065, 21.74785997143118, 10.0, 10.0
-38.250245634936924, 21.305446366133477, 10.0, 10.0
-38.56406430235734, 20.832412899725586, 10.0, 10.0
-38.841116168113125, 20.33694839035623, 10.0, 10.0
-39.085855983538046, 19.82475190549016, 10.0, 10.0
-39.30195590193514, 19.299829395368757, 10.0, 10.0
-39.492336661694026, 18.7650416031773, 10.0, 10.0
-39.65925397161072, 18.222472319109766, 10.0, 10.0
-39.8043911301591, 17.6736754335757, 10.0, 10.0
-40.039671900725686, 17.157065546557483, 10.0, 10.0
-40.359191380544125, 16.687863971133932, 10.0, 10.0
-40.753820017520745, 16.27980630947157, 10.0, 10.0
-41.21171348815211, 15.94428226276769, 10.0, 10.0
-41.71909744411312, 15.689715301838483, 10.0, 10.0
-42.261195456923666, 15.52127373668829, 10.0, 10.0
-42.82314491074349, 15.440926815683277, 10.0, 10.0
-43.37328237187779, 15.300956853834037, 10.0, 10.0
-43.90947559865664, 15.114571124981541, 10.0, 10.0
-44.43150639401766, 14.89157636033869, 10.0, 10.0
-44.93996380932696, 14.639160288781483, 10.0, 10.0
-45.43569419230455, 14.36258443344289, 10.0, 10.0
-45.919543882999506, 14.065713597593726, 10.0, 10.0
-46.39224702277268, 13.751397581438079, 10.0, 10.0
-46.854381866428774, 13.421739876170404, 10.0, 10.0
-47.30635711940363, 13.078285094486269, 10.0, 10.0
-47.74840922420547, 12.722149231361477, 10.0, 10.0
-48.18060107130263, 12.35410979914513, 10.0, 10.0
-48.602817129221336, 11.974667554793013, 10.0, 10.0
-49.01475193306331, 11.584087814218748, 10.0, 10.0
-49.51950063811724, 11.324334929519154, 10.0, 10.0
-50.063630440364776, 11.16257716411222, 10.0, 10.0
-50.622989388376325, 11.065828088443295, 10.0, 10.0
-51.18800052468492, 11.011008090170249, 10.0, 10.0
-51.75499712904913, 10.98348233853953, 10.0, 10.0
-52.3225845224353, 10.974135294489129, 10.0, 10.0
-52.89024042096668, 10.977233233467878, 10.0, 10.0
-53.45778073708771, 10.989099401367396, 10.0, 10.0
-54.02515248263997, 11.007323525828548, 10.0, 10.0
-54.59235205033309, 11.030290170601218, 10.0, 10.0
-55.159392680658954, 11.05689355239826, 10.0, 10.0
-55.72629163886134, 11.086361968582873, 10.0, 10.0
-56.293065394200475, 11.11814760405161, 10.0, 10.0
-56.85972804265498, 11.151856048244605, 10.0, 10.0
-57.42629100718253, 11.187200405490735, 10.0, 10.0
-57.99276319870316, 11.223970945290972, 10.0, 10.0
-58.55915130164735, 11.262014777992995, 10.0, 10.0
-59.12546005031752, 11.30122214392082, 10.0, 10.0
-59.69169244660924, 11.34151717777267, 10.0, 10.0
-60.257849903049355, 11.382851798620715, 10.0, 10.0
-60.8239323062636, 11.425201876950808, 10.0, 10.0
-61.37775326763105, 11.300601880508527, 10.0, 10.0
-61.867165255832106, 11.012993253780344, 10.0, 10.0
-62.245511226201415, 10.58979454977868, 10.0, 10.0
-62.47672237522772, 10.07135051140104, 10.0, 10.0
-62.538756682757594, 9.507085891694402, 10.0, 10.0
-62.425700240821925, 8.950793650781208, 10.0, 10.0
-62.180061147211134, 8.439027833191307, 10.0, 10.0
-61.85065176029246, 7.976715955587844, 10.0, 10.0
-61.46980715464663, 7.555764411210288, 10.0, 10.0
-61.05682486752437, 7.166292400808186, 10.0, 10.0
-60.6230455103157, 6.800125382054432, 10.0, 10.0
-60.17526787747084, 6.4512156403056, 10.0, 10.0
-59.717697821900835, 6.115250670987291, 10.0, 10.0
-59.253024479210694, 5.78918089171213, 10.0, 10.0
-58.78302122045939, 5.470841837987121, 10.0, 10.0
-58.308890139635736, 5.158683969977409, 10.0, 10.0
-57.83146558753808, 4.851586895068284, 10.0, 10.0
-57.35133805046198, 4.548733193580875, 10.0, 10.0
-56.868931631355274, 4.249522794082424, 10.0, 10.0
-56.38455368259127, 3.953514653798152, 10.0, 10.0
-55.89842723114472, 3.6603868837602875, 10.0, 10.0
-55.41071246277781, 3.369909481747328, 10.0, 10.0
-54.92152104105734, 3.081925854993148, 10.0, 10.0
-54.430925576572776, 2.7963406547628953, 10.0, 10.0
-53.93896567893171, 2.513112344955465, 10.0, 10.0
-53.5148652977301, 2.1357773703930376, 10.0, 10.0
-53.1723207279442, 1.6831118933864844, 10.0, 10.0
